Id,Date,Open,High,Low,Close,Indices
231,07-Feb-22,1722.2,1732,1695.4,1715,INFY
232,08-Feb-22,1710,1725,1696,1717.3,INFY
233,09-Feb-22,1735,1743,1725,1737.3,INFY
234,10-Feb-22,1755.65,1773.9,1748.75,1769.6,INFY
235,11-Feb-22,1740,1745.95,1713,1721.35,INFY
236,14-Feb-22,1690,1718.55,1678.25,1682.2,INFY
237,15-Feb-22,1699,1746.75,1690.45,1738.25,INFY
238,16-Feb-22,1738.25,1755.45,1726.85,1733.3,INFY
239,17-Feb-22,1744,1749,1720.3,1724.8,INFY
240,18-Feb-22,1710,1722.5,1703.5,1706.95,INFY
241,21-Feb-22,1701,1737.3,1691.5,1730.7,INFY
242,22-Feb-22,1699.9,1751,1691.05,1734.35,INFY
243,23-Feb-22,1750,1758.25,1733.4,1742.85,INFY
244,24-Feb-22,1690.1,1714.95,1670.5,1678.15,INFY
245,25-Feb-22,1715,1728.15,1677,1694.6,INFY
246,28-Feb-22,1682.2,1728.05,1665,1715.6,INFY
247,02-Mar-22,1710,1714.4,1691,1702.8,INFY
248,03-Mar-22,1720.2,1733.9,1705.55,1720.85,INFY
249,04-Mar-22,1695.25,1736,1681,1723.3,INFY
250,07-Mar-22,1697,1751,1696,1739.85,INFY
251,08-Mar-22,1718.45,1800,1718.45,1778.2,INFY
252,09-Mar-22,1791,1831.6,1791,1813.35,INFY
253,10-Mar-22,1844.75,1844.75,1810.2,1825.9,INFY
254,11-Mar-22,1814,1831.4,1811,1822,INFY
255,14-Mar-22,1831.55,1895,1831.55,1890.7,INFY
256,15-Mar-22,1888.35,1888.35,1830,1839.3,INFY
257,16-Mar-22,1865,1893.95,1849,1889.4,INFY
258,17-Mar-22,1923.3,1923.3,1833.05,1854.6,INFY
259,21-Mar-22,1861,1886.9,1841.1,1853.05,INFY
260,22-Mar-22,1850,1890,1839,1887.4,INFY
261,23-Mar-22,1897,1900,1857,1872.4,INFY
262,24-Mar-22,1856.15,1894.6,1856.15,1886.7,INFY
263,25-Mar-22,1892,1894,1858,1876.55,INFY
264,28-Mar-22,1866,1880.9,1852.65,1873.9,INFY
265,29-Mar-22,1873.9,1889.4,1860.55,1886,INFY
266,30-Mar-22,1910,1919,1895,1903.95,INFY
267,31-Mar-22,1900,1913,1894.2,1906.85,INFY
268,01-Apr-22,1886.85,1910.3,1878.3,1903.55,INFY
269,04-Apr-22,1889.75,1893,1873,1882.95,INFY
270,05-Apr-22,1883.8,1889.6,1857.15,1861.1,INFY
271,06-Apr-22,1855,1857.5,1822.15,1828.85,INFY
272,07-Apr-22,1821.05,1828.15,1807.55,1811,INFY
273,08-Apr-22,1823,1838,1808,1814.6,INFY
274,11-Apr-22,1814,1814,1762.55,1766.55,INFY
275,12-Apr-22,1757.5,1757.5,1727.75,1742.45,INFY
276,13-Apr-22,1754.95,1757.5,1732,1748.55,INFY
277,18-Apr-22,1605.5,1650,1590,1621.4,INFY
278,19-Apr-22,1636.65,1636.65,1550,1562,INFY
279,20-Apr-22,1575,1596.3,1563,1587.7,INFY
280,21-Apr-22,1595,1627.2,1589.25,1618.8,INFY
281,22-Apr-22,1604.35,1610.7,1582.4,1585.45,INFY
282,25-Apr-22,1572.8,1572.8,1554.1,1561.1,INFY
283,26-Apr-22,1577.2,1592,1566.55,1581,INFY
284,27-Apr-22,1572.75,1572.75,1550.35,1552.8,INFY
285,28-Apr-22,1570,1601.8,1557.45,1582.6,INFY
286,29-Apr-22,1590,1597.3,1560.8,1567.55,INFY
287,02-May-22,1550.9,1552.75,1531,1541,INFY
288,04-May-22,1547.25,1570,1530.15,1535.55,INFY
289,05-May-22,1560.05,1589.4,1557.45,1585.15,INFY
290,06-May-22,1550,1561.85,1535.05,1542.85,INFY
291,09-May-22,1540,1586.8,1522.15,1570.35,INFY
292,10-May-22,1558,1569.15,1546.05,1553,INFY
293,11-May-22,1549.95,1549.95,1511.6,1526.75,INFY
294,12-May-22,1514,1527.5,1504.3,1508.8,INFY
295,13-May-22,1519.3,1529.25,1498.1,1504.4,INFY
296,16-May-22,1510,1511.85,1478.65,1489.1,INFY
297,17-May-22,1494.9,1525,1480.9,1518.45,INFY
298,18-May-22,1522,1549.7,1505.3,1509.2,INFY
299,19-May-22,1481,1484.7,1417.65,1427.15,INFY
300,20-May-22,1453,1466.75,1446.7,1455.15,INFY
301,23-May-22,1455.1,1488,1450.05,1468.4,INFY
302,24-May-22,1468.6,1469.55,1435.25,1441,INFY
303,25-May-22,1435,1442.5,1399.25,1410.45,INFY
304,26-May-22,1418,1430,1407.05,1423.95,INFY
305,27-May-22,1443.95,1467,1437.4,1461.35,INFY
306,30-May-22,1487,1530,1485,1526.8,INFY
307,31-May-22,1510.7,1518,1488.15,1503.6,INFY
308,01-Jun-22,1513,1514.75,1472.1,1478.55,INFY
309,02-Jun-22,1484,1513.85,1475.6,1508,INFY
310,03-Jun-22,1524.9,1555,1518,1521.7,INFY
311,06-Jun-22,1516,1536.6,1493,1530.05,INFY
312,07-Jun-22,1519.85,1519.85,1502.6,1506.7,INFY
313,08-Jun-22,1520.2,1520.2,1492,1500,INFY
314,09-Jun-22,1485,1516.95,1481.5,1515,INFY
315,10-Jun-22,1486.1,1493.95,1473.6,1476.8,INFY
316,13-Jun-22,1443.6,1443.6,1411.7,1424.5,INFY
317,14-Jun-22,1410,1448.9,1403.15,1440.55,INFY
318,15-Jun-22,1440.2,1446.4,1418.85,1422.2,INFY
319,16-Jun-22,1438,1443.75,1392,1397.2,INFY
320,17-Jun-22,1391.05,1396.95,1367.15,1387.3,INFY
321,20-Jun-22,1390.05,1422.35,1382,1414.15,INFY
322,21-Jun-22,1424,1456,1422.75,1449.9,INFY
323,22-Jun-22,1436.05,1459.6,1435,1437.25,INFY
324,23-Jun-22,1439.8,1458,1433,1452.45,INFY
325,24-Jun-22,1458,1467.5,1428.9,1441.1,INFY
326,27-Jun-22,1468.05,1484,1465.15,1474.6,INFY
327,28-Jun-22,1469,1488.25,1453,1480.15,INFY
328,29-Jun-22,1464.7,1477,1457,1463.25,INFY
329,30-Jun-22,1465.05,1482,1455,1461.9,INFY
330,01-Jul-22,1454,1485,1442.35,1479.4,INFY
331,04-Jul-22,1480.25,1492.25,1462,1488,INFY
332,05-Jul-22,1498.8,1509.95,1472,1475.95,INFY
333,06-Jul-22,1482.2,1500,1470,1491.65,INFY
334,07-Jul-22,1503.05,1513.95,1495.7,1498.7,INFY
335,08-Jul-22,1515,1516.95,1499.95,1514.45,INFY
336,11-Jul-22,1495,1499.9,1466.4,1473.15,INFY
337,12-Jul-22,1461.8,1468.6,1436,1438.6,INFY
338,13-Jul-22,1450,1460,1438.6,1444.45,INFY
339,14-Jul-22,1451,1452.95,1414,1428.85,INFY
340,15-Jul-22,1446,1446,1410.65,1430.35,INFY
