date,open,high,low,close,volume,Name
31-08-2012,4242.05,4278.25,4205.4,4233.25,56649434,33236600000
03-09-2012,4244.75,4259.95,4208.5,4218.5,25963918,15250100000
04-09-2012,4220.65,4224.2,4180.2,4220.95,28542501,15860900000
05-09-2012,4202.6,4211.15,4156.45,4161.15,33098677,20762500000
06-09-2012,4166.05,4203.4,4157.6,4178.1,32295017,15763500000
07-09-2012,4238.25,4270.15,4236.5,4261.45,33657400,19871200000
08-09-2012,4265.7,4275.6,4265.7,4270.85,1720924,988500000
10-09-2012,4272.2,4288.75,4252.45,4264.3,21424005,13373200000
11-09-2012,4241.45,4314.7,4241.4,4309.7,23884777,14381100000
12-09-2012,4322.4,4338.75,4295.3,4319,24783416,14555300000
13-09-2012,4328.45,4339.25,4304.55,4318.7,21372436,12801800000
14-09-2012,4403.1,4490.7,4403.1,4482.05,49501507,32835400000
17-09-2012,4540.95,4618.6,4540.95,4600.45,59433552,39342300000
18-09-2012,4585.9,4611.7,4569.7,4606.55,44721357,26546600000
20-09-2012,4558,4572.8,4534.15,4549.8,40058009,22319700000
21-09-2012,4571.55,4737.65,4571.55,4713.95,67594272,41991600000
24-09-2012,4711.15,4766.9,4703.85,4720.25,56024392,32188000000
25-09-2012,4725.9,4766.85,4696.95,4730.45,54070521,31139800000
26-09-2012,4711.95,4724.9,4678.45,4714.7,42524694,24909300000
27-09-2012,4729.55,4745.35,4693.4,4712.1,44865661,27902400000
28-09-2012,4738.9,4769.7,4726.7,4735.7,35311486,21521300000
01-10-2012,4732.95,4734.85,4693.95,4711.75,27631262,15003700000
03-10-2012,4723.75,4744.1,4711.1,4735.7,39339310,22798400000
04-10-2012,4754.35,4842.85,4754.35,4823.55,37513699,25136900000
05-10-2012,4842.75,4842.75,4263.8,4732.35,103238528,74398600000
08-10-2012,4745.95,4745.95,4673.15,4682.05,36363837,20967800000
09-10-2012,4717.55,4744.8,4689.15,4710.05,30232508,17872100000
10-10-2012,4681.65,4681.65,4640.25,4645,31232301,17022700000
11-10-2012,4662.45,4711.55,4623.2,4699.05,39498148,24836800000
12-10-2012,4711.65,4723.45,4663.4,4669.4,33333151,18897200000
15-10-2012,4672.25,4690.55,4631.9,4684.2,23332261,13339300000
16-10-2012,4705.15,4722.15,4652.75,4661,31613132,19723900000
17-10-2012,4687.75,4692.85,4647.75,4671.9,30225014,17610200000
18-10-2012,4690.3,4756.35,4669.6,4751.95,36376504,23989400000
19-10-2012,4735.55,4752.85,4682.25,4708.1,36535294,20376500000
22-10-2012,4684.65,4746.65,4682.3,4742.65,28163115,18185700000
23-10-2012,4749.05,4760.45,4716.85,4730.45,24000121,13906700000
25-10-2012,4718.55,4772.2,4718.55,4762.1,48024106,28347000000
26-10-2012,4749.7,4759.05,4699.1,4718.5,34646098,21909400000
29-10-2012,4717.35,4749.45,4692.15,4709.55,30251594,16044000000
30-10-2012,4703.55,4755.1,4610.65,4624.6,43092813,27651900000
31-10-2012,4627.45,4671.45,4595.75,4663,36690829,20120500000
01-11-2012,4657,4693.4,4648,4683.6,27041063,13877300000
02-11-2012,4739.1,4739.1,4713.8,4727.2,27515212,15346700000
05-11-2012,4724.8,4742.2,4707.65,4738.15,19808829,10556200000
06-11-2012,4718,4780.4,4718,4770.8,25495880,13919900000
07-11-2012,4770.5,4850.7,4761,4828.4,33794421,21450600000
08-11-2012,4782.55,4808.15,4768.05,4800.35,21784729,15302600000
09-11-2012,4793.65,4814.4,4734.75,4752.95,32198434,24303400000
12-11-2012,4758.4,4797.65,4748.25,4789.05,26869473,18399800000
13-11-2012,4788.5,4796.55,4753.6,4763.3,4311087,2680800000
15-11-2012,4749.9,4781.6,4706.25,4776.4,27772472,17086700000
16-11-2012,4760.3,4771.65,4679.6,4690.55,29235086,17508700000
19-11-2012,4692.95,4700.1,4642.9,4660.15,23866751,13058800000
20-11-2012,4686.4,4716.05,4674.65,4691.3,28456072,17253000000
21-11-2012,4702.3,4733.05,4679.65,4730.05,24242360,15770800000
22-11-2012,4744.75,4771.1,4734.15,4740.55,21562869,14920100000
23-11-2012,4753.3,4756.2,4707.05,4738.75,20100069,12228000000
26-11-2012,4764.05,4764.05,4710.25,4723.8,19424856,11744500000
27-11-2012,4750.15,4824.9,4750.15,4820.25,32812012,22035300000
29-11-2012,4835.75,4972.4,4835.7,4958.4,51841978,33762800000
30-11-2012,4988.25,5054.8,4988.25,5045.65,52968723,33374800000
03-12-2012,5029.9,5047.15,4992.8,5017.35,27697775,18211500000
04-12-2012,5013.7,5061.2,5009.2,5053.7,31684968,18140800000
05-12-2012,5073.75,5097.35,5060.3,5075.2,26638232,17960700000
06-12-2012,5103,5150.15,5034.1,5131.05,34572938,21351800000
07-12-2012,5139,5148.65,5085.6,5106.85,33026647,21030600000
10-12-2012,5114.05,5149.25,5089.75,5139.55,27161483,16702200000
11-12-2012,5156.05,5204.6,5106.05,5142.7,31831194,22687800000
12-12-2012,5152.2,5158.6,5103.25,5114.25,31469870,20899100000
13-12-2012,5124.95,5164.85,5084,5096.75,27395190,18808500000
14-12-2012,5093.6,5141.35,5080.2,5135.45,23857868,17241700000
17-12-2012,5119.5,5150.05,5098.65,5112.7,23375253,17192000000
