date,open,high,low,close,volume,Name
18-10-2004,2668.8,2677.7,2618.35,2623.35,13532466,7006000000
19-10-2004,2638.15,2658.65,2627.85,2652.85,13539626,7638200000
20-10-2004,2652.8,2661.9,2607.9,2618.2,19748835,8507800000
21-10-2004,2629.1,2638.2,2590.45,2606.9,17081607,7383400000
25-10-2004,2616.85,2627.65,2583.6,2588.9,20601130,9660300000
26-10-2004,2588.7,2629.7,2522.65,2622.2,16807068,7868000000
27-10-2004,2636.3,2651.1,2612.55,2636.35,16490158,7549500000
28-10-2004,2656.3,2709.05,2656.3,2703,19919176,11154000000
29-10-2004,2706.5,2706.5,2658.1,2667.15,11519830,6286100000
01-11-2004,2661.3,2689,2640.8,2681.4,10821955,5345800000
02-11-2004,2677.3,2682.6,2656.95,2670.55,9858970,5414600000
03-11-2004,2673.95,2753.8,2673.95,2737.6,18522274,9060200000
04-11-2004,2745.3,2786.2,2736.65,2744.5,11716847,6710600000
05-11-2004,2793.9,2805.85,2733.45,2759.3,8509786,4999000000
08-11-2004,2772.5,2815.05,2770.55,2773.9,11419425,8268000000
09-11-2004,2769.15,2802.45,2764.4,2791.85,13820172,7648000000
10-11-2004,2790.5,2815.45,2779.75,2809.25,10594504,7112300000
11-11-2004,2798.7,2809.45,2784.25,2789.75,7852589,5008100000
12-11-2004,2808.95,2811.65,2780.4,2792.55,2222898,1236400000
16-11-2004,2790.95,2832.95,2790.95,2828.35,10212797,5909400000
17-11-2004,2827.5,2860.2,2819,2856.5,8699355,4686400000
18-11-2004,2854.85,2879.25,2834.95,2873.6,14321578,6058400000
19-11-2004,2873.35,2881.8,2841.55,2847.25,11595845,4751000000
22-11-2004,2836.9,2836.9,2795.5,2823.85,7395140,3601500000
23-11-2004,2824.85,2862.35,2824.85,2842.7,9044748,4415800000
24-11-2004,2840.05,2852.8,2834.4,2843.7,8173014,3624200000
25-11-2004,2843.75,2885.5,2843.75,2879.4,10435874,4503900000
29-11-2004,2863.55,2960.6,2863.55,2955.95,9003035,4814300000
30-11-2004,2960.5,3013.8,2960.5,2996.5,11972114,7252800000
01-12-2004,2997.05,3002.95,2944.55,2961.4,13234219,6752200000
02-12-2004,2967.15,3007.05,2941.45,2951,16663816,8048100000
03-12-2004,2951.5,2953.75,2904.05,2914.65,14736251,8161400000
06-12-2004,2921.25,2938.2,2876.25,2888.2,14865570,7762100000
07-12-2004,2868.8,2928.2,2868.8,2910.05,10981190,5656700000
08-12-2004,2905.1,2905.1,2860.6,2865.85,10024846,5334000000
09-12-2004,2865.7,2897.95,2861.6,2871.25,8862662,4738100000
10-12-2004,2873.8,2898.8,2872.5,2880.55,8971554,4537300000
13-12-2004,2878.9,2896.5,2878.9,2887.55,6302978,2820200000
14-12-2004,2879.35,2909.2,2879.35,2906.95,8094491,3417100000
15-12-2004,2909.7,2978.9,2909.7,2961.4,15946513,7034000000
16-12-2004,2963.55,2990.8,2949.35,2984.2,10726164,4681700000
17-12-2004,2984.35,2989.1,2943.75,2952.85,10494721,4717600000
20-12-2004,2944.55,2992.1,2944.05,2987,7830002,3337100000
21-12-2004,2990.15,3012.65,2979.9,2994.95,9727517,4172100000
22-12-2004,2963.25,3004.25,2921.7,2941.45,12860112,7015300000
23-12-2004,2911.6,2951.85,2911.6,2922,8485724,4099600000
24-12-2004,2926.4,2951.6,2900.55,2939.55,9956224,5240400000
27-12-2004,2935.8,2952.7,2917.6,2924.15,5071614,2450800000
28-12-2004,2926,2945.5,2916.7,2931.7,6705233,3110300000
29-12-2004,2940.3,2975.5,2926,2936.35,8556260,4053800000
30-12-2004,2939.7,2948.8,2887,2896.55,10177883,5038000000
31-12-2004,2897.85,2941.65,2891.45,2936.9,8795605,4147400000
03-01-2005,3088.2,3088.2,2940.85,2969.4,9658013,3395700000
04-01-2005,2969.7,2978.2,2925.65,2949.1,12289333,4570500000
05-01-2005,2936.75,2938.9,2804.3,2847.5,13903424,7227200000
06-01-2005,2841.05,2862.95,2768.95,2803.8,14515706,7797500000
07-01-2005,2799.4,2838.9,2776.05,2827,11081666,7238900000
10-01-2005,2843.75,2846.1,2740.25,2752.05,10315473,5941600000
11-01-2005,2755.35,2770.95,2716.25,2726.05,14025713,8282200000
12-01-2005,2727.15,2773.3,2615.1,2635.65,16844439,11972700000
